"Observation.ID","Observation.Date","Year","Sex","ObsAge","z.Age","ALS","z.ALS","Repro.Stat","Associates","anon_id"
1070,"1989-06-15",1989,"FEMALE",7897,0.38748003181445,14134,0.870974274552829,"Not Calf",4,"ID1140"
1070,"1989-06-15",1989,"MALE",2053,-1.1051175978378,9053,-0.43771134274249,"Not Calf",4,"ID1549"
1072,"1989-06-15",1989,"MALE",252,-1.56510533414917,13390,0.679346229036648,"Calf",1,"ID0324"
1072,"1989-06-15",1989,"FEMALE",10453,1.04029993965003,11362,0.15700526625867,"Not Calf",1,"ID0344"
1074,"1989-06-16",1989,"MALE",253,-1.56484992729947,13390,0.679346229036648,"Calf",1,"ID0324"
1074,"1989-06-16",1989,"MALE",167,-1.58681491637375,13327,0.663119660666326,"Calf",1,"ID1576"
1075,"1989-06-16",1989,"FEMALE",7167,0.20103303153277,12235,0.381859142247415,"Not Calf",6,"ID0022"
1075,"1989-06-16",1989,"FEMALE",7898,0.387735438664151,14134,0.870974274552829,"Not Calf",6,"ID1140"
1075,"1989-06-16",1989,"FEMALE",1688,-1.19834109797864,3608,-1.84015046617745,"Calf",6,"ID1614"
1075,"1989-06-16",1989,"FEMALE",3149,-0.825191690565575,6277,-1.15271060934588,"Not Calf",6,"ID1698"
